id,ID,ID_source,GivenName,MiddleName,FamilyName,Sex,DOB,Race,DOB_YR,DOB_MO,DOB_DY,is_match,Class,Weight,cutpnt
1,4,dat2_2018AB29797,HIRO,NIKITA,CHAN,M,7/17/2018,NHOPI,2018,7,17,,,,NA
4,4,dat1_MBR9ABVV5I,HIRO,,CHAN,M,7/17/2018,NHOPI,2018,7,17,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
2,8,dat2_2019AB15569,JOON,LEILA,SMITH,M,7/22/2019,Black,2019,7,22,,,,NA
7,8,dat1_86JHHB5X5C,JOON,,SMITH,M,7/22/2019,Black,2019,7,22,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
3,9,dat2_2019AB07650,KATARINA,WOLFGANG,GONZALEZ,F,11/9/2019,Asian,2019,11,9,,,,NA
8,9,dat1_E0FQ1ZZON8,KATARINA,,GONZALEZ,F,11/9/2019,Asian,2019,11,9,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
5,16,dat2_2020AB39613,EMRE,AMALIA,JOHNSON,M,4/4/2020,Black,2020,4,4,,,,NA
13,16,dat1_J495W5BCVP,EMRE,,JOHNSON,M,4/4/2020,Black,2020,4,4,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
6,22,dat2_2017AB88375,ALIYAH,ALINA,HERNANDEZ,F,2/2/2017,Black,2017,2,2,,,,NA
19,22,dat1_XP5KISQLSA,ALIYAH,,HERNANDEZ,F,2/2/2017,Black,2017,2,2,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
7,23,dat2_2016AB84200,OLIVER,RAFAEL,CHOWDHURY,M,8/14/2016,White,2016,8,14,,,,NA
20,23,dat1_RB3SLU7MIP,OLIVER,,CHOWDHURY,M,8/14/2016,White,2016,8,14,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
8,24,dat2_2018AB49922,FATIMA,TALA,COHEN,F,10/15/2018,White,2018,10,15,,,,NA
21,24,dat1_XU97KQHWD5,FATIMA,,COHEN,F,10/15/2018,White,2018,10,15,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
10,34,dat2_2020AB73125,AMAL,NIAMH,GARCIARODRIGUEZ,F,8/23/2020,White,2020,8,23,,,,NA
30,34,dat1_TQXPKGL50C,AMAL,NIAMH,GARCIARODRIGUEZ,F,8/23/2020,White,2020,8,23,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
11,35,dat2_2017AB26969,ISAAC,ARSENIY,ALIJONES,M,4/18/2017,White,2017,4,18,,,,NA
31,35,dat1_ZYRNKYG64B,ISAAC,ARSENIY,ALIJONES,M,4/18/2017,White,2017,4,18,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
13,37,dat2_2018AB72438,JIN,FINN,RUIZ,M,9/5/2018,Black,2018,9,5,,,,NA
32,37,dat1_BKYB1QSGRY,JIN,FINN,RUIZ,M,9/5/2018,Black,2018,9,5,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
14,47,dat2_2019AB02969,JUN,MARITZA,CHANGLIU,M,6/25/2019,White,2019,6,25,,,,NA
42,47,dat1_Z4CRSRITY9,JUN,MARITZA,CHANGLIU,M,6/25/2019,White,2019,6,25,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
15,48,dat2_2017AB96393,CAMILA,NIKOLAI,LEEKIM,F,3/19/2017,White,2017,3,19,,,,NA
43,48,dat1_1L9WNMRB7D,CAMILA,N,LEEKIM,F,3/19/2017,White,2017,3,19,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
17,52,dat2_2020AB85602,KAYA,SARI,ORTIZSANTOS,F,7/10/2020,White,2020,7,10,,,,NA
47,52,dat1_NXU4EA0QRO,KAYA,S,ORTIZSANTOS,F,7/10/2020,White,2020,7,10,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
18,54,dat2_2016AB14956,ANTON,LUIZ,GARCIASANCHEZ,M,10/17/2016,NHOPI,2016,10,17,,,,NA
49,54,dat1_I5GNZDRXAD,ANTON,L,GARCIASANCHEZ,M,10/17/2016,NHOPI,2016,10,17,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
20,64,dat2_2019AB25763,OMAR,ANDRZEJ,NAKAMURAYAMAMOTO,M,5/13/2019,White,2019,5,13,,,,NA
59,64,dat1_3VMF0NGG8L,OMAR,ANDRZEJ,NAKAMURAYAMAMOTO,M,5/13/2019,White,2019,5,13,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
21,68,dat2_2018AB12788,AALIYAH,MARISOL,KIMCHOI,F,4/28/2018,White,2018,4,28,,,,NA
63,68,dat1_YOF3B0GX3W,AALIYAH,MARISOL,KIMCHOI,F,4/28/2018,White,2018,4,28,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
22,70,dat2_2016AB37134,ANISA,EMIR,SMITHJOHNSON,F,12/3/2016,White,2016,12,3,,,,NA
65,70,dat1_OKXHO0YV07,ANISA,,SMITHJOHNSON,F,12/3/2016,White,2016,12,3,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
24,72,dat2_2017AB43877,JASMINE,GISELLE,TORRESRODRIGUEZ,F,10/27/2017,Black,2017,10,27,,,,NA
67,72,dat1_H3ZVRNTXJ9,JASMINE,GISELLE,TORRESRODRIGUEZ,F,10/27/2017,Black,2017,10,27,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
25,80,dat2_2020AB34483,SELENA,KIANA,CHANGCHEN,F,1/19/2020,Asian,2020,1,19,,,,NA
73,80,dat1_Q6FPWYVEG1,SELENA,KIANA,CHANGCHEN,F,1/19/2020,Asian,2020,1,19,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
26,81,dat2_2019AB96911,YUSUF,RASMUS,LEEPARK,M,8/26/2019,White,2019,8,26,,,,NA
74,81,dat1_AQ0JCTCZ5S,YUSUF,RASMUS,LEEPARK,M,8/26/2019,White,2019,8,26,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
27,84,dat2_2020AB01846,LILA,FATOUMATA,ORTIZRODRIGUEZ,F,4/14/2020,White,2020,4,14,,,,NA
77,84,dat1_UNJK41UZGM,LILA,FATOUMATA,ORTIZRODRIGUEZ,F,4/14/2020,White,2020,4,14,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
28,87,dat2_2018AB14069,LILA,INESSA,HERNANDEZGONZALEZ,F,1/15/2018,White,2018,1,15,,,,NA
80,87,dat1_BSA9B7OCJM,LILA,INESSA,HERNANDEZGONZALEZ,F,1/15/2018,White,2018,1,15,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
29,88,dat2_2019AB94275,YUSUF,RADU,SATONAKAMURA,M,11/18/2019,AIAN,2019,11,18,,,,NA
81,88,dat1_LOEDW6DENQ,YUSUF,,SATONAKAMURA,M,11/18/2019,AIAN,2019,11,18,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
33,113,dat2_2020AB03791,AUBREY,SOPHIA,JENKINS,F,10/5/2020,White,2020,10,5,,,,NA
102,113,dat1_YPNPF4465F,AUBREY,SOPHIA,JENKINS,F,10/5/2020,White,2020,10,5,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
34,119,dat2_2016AB32278,SAGE,ISABELLA,WHITE,F,5/7/2016,White,2016,5,7,,,,NA
108,119,dat1_RCSGQ4MLSC,SAGE,ISABELLA,WHITE,F,5/7/2016,White,2016,5,7,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
35,122,dat2_2018AB87778,DREW,SAMUEL,ALLEN,M,11/21/2018,Black,2018,11,21,,,,NA
111,122,dat1_MU1WM6I3C3,DREW,SAMUEL,ALLEN,M,11/21/2018,Black,2018,11,21,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
36,129,dat2_2020AB79139,BAILEY,DANIEL,GREEN,F,11/14/2020,Black,2020,11,14,,,,NA
118,129,dat1_UWTF5X8I8Z,BAILEY,DANIEL,GREEN,F,11/14/2020,Black,2020,11,14,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
37,131,dat2_2017AB49463,MORGAN,NICHOLAS,LEE,F,9/5/2017,White,2017,9,5,,,,NA
120,131,dat1_W0R7N2ZIGC,MORGAN,NICHOLAS,LEE,F,9/5/2017,White,2017,9,5,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
38,133,dat2_2020AB91271,AVERY,RYAN,HALL,F,1/7/2020,White,2020,1,7,,,,NA
122,133,dat1_YPOD3SKM0A,AVERY,RYAN,HALL,F,1/7/2020,White,2020,1,7,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
41,146,dat2_2019AB60630,RYLAN,GABRIEL,COOK,M,6/21/2019,White,2019,6,21,,,,NA
134,146,dat1_Z8UKTRBKMT,RYLAN,,COOK,M,6/21/2019,White,2019,6,21,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
42,148,dat2_2018AB00542,DREW,ZACHARY,RICHARDSON,M,12/28/2018,White,2018,12,28,,,,NA
136,148,dat1_VG93QIVY6B,DREW,,RICHARDSON,M,12/28/2018,White,2018,12,28,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
43,150,dat2_2020AB65468,LOGAN,ANTHONY,DAVISSCOTT,M,11/20/2020,Asian,2020,11,20,,,,NA
138,150,dat1_X8K444ZC19,LOGAN,,DAVISSCOTT,M,11/20/2020,Asian,2020,11,20,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
47,165,dat2_2020AB16786,DAKOTA,MAYA,HERNANDEZCRUZ,F,12/23/2020,White,2020,12,23,,,,NA
152,165,dat1_QIBDVQ4D6N,DAKOTA,,HERNANDEZCRUZ,F,12/23/2020,White,2020,12,23,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
49,167,dat2_2017AB84457,JAMIE,GABRIELLE,SCOTTHARRIS,F,2/6/2017,NHOPI,2017,2,6,,,,NA
154,167,dat1_K0E7SLW089,JAMIE,,SCOTTHARRIS,F,2/6/2017,NHOPI,2017,2,6,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
50,174,dat2_2018AB37376,CASEY,ETHAN,RIVERA,M,11/8/2018,White,2018,11,8,,,,NA
160,174,dat1_O5QVUHLUMW,CASEY,ETHAN,RIVERA,M,11/8/2018,White,2018,11,8,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
56,207,dat2_2020AB88486,TUAKANA,TOA,PATEA,M,6/25/2020,NHOPI,2020,6,25,,,,NA
192,207,dat1_MJDIDWOSNP,TUAKANA,TOA,PATEA,M,6/25/2020,NHOPI,2020,6,25,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
58,210,dat2_2017AB58137,MELE,KULA,TAVITA,F,5/31/2017,NHOPI,2017,5,31,,,,NA
194,210,dat1_56BZFU5VN5,MELE,KULA,TAVITA,F,5/31/2017,NHOPI,2017,5,31,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
59,212,dat2_2017AB00609,SINA,ORAMA,TEURA,F,11/30/2017,NHOPI,2017,11,30,,,,NA
196,212,dat1_VWQQUA2N3V,SINA,ORAMA,TEURA,F,11/30/2017,NHOPI,2017,11,30,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
62,216,dat2_2018AB01803,HINEMOA,ATARETA,TANE,F,10/11/2018,NHOPI,2018,10,11,,,,NA
200,216,dat1_4RMVMUVSZJ,HINEMOA,ATARETA,TANE,F,10/11/2018,NHOPI,2018,10,11,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
64,222,dat2_2016AB11948,AROHA,HIRIATA,POU,F,5/6/2016,NHOPI,2016,5,6,,,,NA
205,222,dat1_4FZ7O47EJK,AROHA,,POU,F,5/6/2016,NHOPI,2016,5,6,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
65,224,dat2_2017AB68387,AFA,ANAPU,AMUIA,F,12/5/2017,NHOPI,2017,12,5,,,,NA
207,224,dat1_D9857ABAJL,AFA,,AMUIA,F,12/5/2017,NHOPI,2017,12,5,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
66,233,dat2_2020AB87053,PASI,VAINETUTAI,KATOA,M,11/21/2020,NHOPI,2020,11,21,,,,NA
216,233,dat1_79WSB2TUL5,PASI,,KATOA,M,11/21/2020,NHOPI,2020,11,21,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
67,234,dat2_2016AB48842,KAVA,TAULA,IAONE,F,7/8/2016,NHOPI,2016,7,8,,,,NA
217,234,dat1_ED62W17BRB,KAVA,,IAONE,F,7/8/2016,NHOPI,2016,7,8,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
68,237,dat2_2018AB24488,MIKAELE,TAUFA,KAIPO,M,6/20/2018,NHOPI,2018,6,20,,,,NA
220,237,dat1_4L34LV0GCU,MIKAELE,TAUFA,KAIPO,M,6/20/2018,NHOPI,2018,6,20,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
69,239,dat2_2019AB18246,TOA,MALAKAI,ONAONA,M,8/15/2019,NHOPI,2019,8,15,,,,NA
222,239,dat1_NX13886Q6A,TOA,MALAKAI,ONAONA,M,8/15/2019,NHOPI,2019,8,15,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
70,245,dat2_2017AB22742,PALEFAU,SOANE,OLA,M,1/8/2017,NHOPI,2017,1,8,,,,NA
228,245,dat1_083S3QPX8K,PALEFAU,SOANE,OLA,M,1/8/2017,NHOPI,2017,1,8,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
71,246,dat2_2020AB54478,FETU,LEILANI,TUITUPOU,F,6/11/2020,NHOPI,2020,6,11,,,,NA
229,246,dat1_U98JSZYSVI,FETU,LEILANI,TUITUPOU,F,6/11/2020,NHOPI,2020,6,11,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
73,257,dat2_2018AB44623,DESIREE,MONIQUE,DAVIS,F,11/18/2018,Black,2018,11,18,,,,NA
238,257,dat1_AQ676EUH7H,DESIREE,MONIQUE,DAVIS,F,11/18/2018,Black,2018,11,18,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
74,263,dat2_2016AB35131,MONIQUE,DANIELLE,ADAMS,F,6/7/2016,Black,2016,6,7,,,,NA
244,263,dat1_YQC5VAP7S3,MONIQUE,DANIELLE,ADAMS,F,6/7/2016,Black,2016,6,7,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
76,268,dat2_2017AB50128,CIARA,MARIE,RICHARDSON,F,8/5/2017,Black,2017,8,5,,,,NA
249,268,dat1_JA29KI0RIV,CIARA,MARIE,RICHARDSON,F,8/5/2017,Black,2017,8,5,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
77,270,dat2_2019AB95376,JAZMINE,MICHELLE,LEE,F,11/12/2019,Black,2019,11,12,,,,NA
251,270,dat1_Z4ZU48545O,JAZMINE,MICHELLE,LEE,F,11/12/2019,Black,2019,11,12,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
78,274,dat2_2019AB60789,COREY,JAMES,JACKSON,M,6/20/2019,Black,2019,6,20,,,,NA
255,274,dat1_RDFCBURBWD,COREY,JAMES,JACKSON,M,6/20/2019,Black,2019,6,20,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
79,277,dat2_2018AB99325,ANDRE,LAMAR,LEWIS,M,9/28/2018,Black,2018,9,28,,,,NA
258,277,dat1_I5WVY4YYAK,ANDRE,LAMAR,LEWIS,M,9/28/2018,Black,2018,9,28,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
81,280,dat2_2017AB64076,TERRENCE,MICHAEL,WILSON,M,11/9/2017,Black,2017,11,9,,,,NA
261,280,dat1_Y5FGOIN7OR,TERRENCE,MICHAEL,WILSON,M,11/9/2017,Black,2017,11,9,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
85,288,dat2_2017AB89736,CEDRIC,LAMAR,BAKER,M,5/2/2017,Black,2017,5,2,,,,NA
269,288,dat1_Q0P85N2CJS,CEDRIC,LAMAR,BAKER,M,5/2/2017,Black,2017,5,2,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
86,292,dat2_2017AB01735,RASHAD,MALIK,DAVIS,M,10/4/2017,Black,2017,10,4,,,,NA
273,292,dat1_DVNWCNTIBH,RASHAD,MALIK,DAVIS,M,10/4/2017,Black,2017,10,4,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
88,298,dat2_2019AB60274,TERRANCE,ALEXANDER,JACKSON,M,9/23/2019,Black,2019,9,23,,,,NA
278,298,dat1_JI6C9YYUGM,TERRANCE,ALEXANDER,JACKSON,M,9/23/2019,Black,2019,9,23,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
90,315,dat2_2018AB49840,EVELYN,FAITH,DAVIS,F,3/3/2018,NHOPI,2018,3,3,,,,NA
295,315,dat1_GM0KWHABJB,EVELYN,FAITH,DAVIS,F,3/3/2018,NHOPI,2018,3,3,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
91,317,dat2_2017AB48511,CHLOE,ISABELLA,LEE,F,12/18/2017,White,2017,12,18,,,,NA
297,317,dat1_A1S2RKTKYJ,CHLOE,ISABELLA,LEE,F,12/18/2017,White,2017,12,18,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
92,322,dat2_2017AB13167,ZOEY,ELIZABETH,KIM,F,10/15/2017,Black,2017,10,15,,,,NA
302,322,dat1_ST9X20TIT9,ZOEY,ELIZABETH,KIM,F,10/15/2017,Black,2017,10,15,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
94,325,dat2_2020AB72245,ARIANA,ELIZABETH,LEE,F,11/26/2020,NHOPI,2020,11,26,,,,NA
305,325,dat1_QACW51TNXW,ARIANA,ELIZABETH,LEE,F,11/26/2020,NHOPI,2020,11,26,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
96,331,dat2_2018AB41226,CLAIRE,OLIVIA,ROBINSON,F,4/4/2018,White,2018,4,4,,,,NA
311,331,dat1_I1LY35MIRT,CLAIRE,OLIVIA,ROBINSON,F,4/4/2018,White,2018,4,4,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
98,333,dat2_2017AB41306,AUTUMN,ELIZABETH,WILSON,F,6/13/2017,White,2017,6,13,,,,NA
313,333,dat1_19BOHIC36U,AUTUMN,ELIZABETH,WILSON,F,6/13/2017,White,2017,6,13,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
99,334,dat2_2020AB86604,PAISLEY,ROSE,LEE,F,3/10/2020,White,2020,3,10,,,,NA
314,334,dat1_3FXH4FTJDZ,PAISLEY,ROSE,LEE,F,3/10/2020,White,2020,3,10,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
100,336,dat2_2018AB48302,EVERLY,SOPHIA,DAVIS,F,11/18/2018,Black,2018,11,18,,,,NA
316,336,dat1_QMEOKF3XRU,EVERLY,SOPHIA,DAVIS,F,11/18/2018,Black,2018,11,18,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
101,339,dat2_2020AB41203,JULIA,MARIE,ROBINSON,F,5/24/2020,White,2020,5,24,,,,NA
319,339,dat1_LY43QTBB4R,JULIA,MARIE,ROBINSON,F,5/24/2020,White,2020,5,24,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
102,344,dat2_2020AB43281,MADELYN,ELIZABETH,LEE,F,11/10/2020,AIAN,2020,11,10,,,,NA
324,344,dat1_JNPYUZJ5RB,MADELYN,,LEE,F,11/10/2020,AIAN,2020,11,10,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
104,352,dat2_2016AB29690,ARIANNA,MARIE,LEE,F,11/30/2016,White,2016,11,30,,,,NA
332,352,dat1_B9SMCKZK3W,ARIANNA,,LEE,F,11/30/2016,White,2016,11,30,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
106,363,dat2_2020AB88514,PIPER,VICTORIA,DAVIS,F,2/9/2020,Asian,2020,2,9,,,,NA
