"ID","Last Name","First Name","Middle Name","Date of Birth","Sex","Race","UNID","InSample"
1,"Patel","Amara ","Mei","6/28/2016","Female","Black","OFDEBNBNST",NA
2,"Kim","Malik ","Giovanni","8/18/2017","Male","White","98AQ2AIWZX",NA
3,"García","Sofia ","","9/22/2019","Female","Black","R8EFSTH5I0",NA
4,"Chan","Hiro ","","7/17/2018","Male","NHOPI","MBR9ABVV5I",1
6,"Sánchez","Alejandro ","","9/27/2017","Male","AIAN","C0IHCFX2IZ",NA
7,"Nguyen","Aisha ","","11/7/2018","Female","AIAN","OTXCPJ8EKV",NA
8,"Smith","Joon ","","7/22/2019","Male","Black","86JHHB5X5C",1
9,"González","Katarina ","","11/9/2019","Female","Asian","E0FQ1ZZON8",1
10,"Park","Hassan ","","12/27/2017","Male","Asian","L7ZIQI9MT3",NA
12,"Singh","Ahmed ","","11/24/2019","Male","White","6L1N2D11RY",NA
13,"Martinez","Ananya ","","11/29/2018","Female","White","0SVH3B5WYT",NA
15,"Lee-Lea","Nadia ","Ravi","4/16/2016","Female","White","D1E83KZ2KI",1
16,"Johnson","Emre ","","4/4/2020","Male","Black","J495W5BCVP",1
17,"Wang-Li","Isabella ","","11/23/2016","Female","White","2861CDO7ML",NA
18,"Smith-Garcia","Raj ","","5/31/2017","Male","Asian","MM63S3NCU3",NA
19,"O'Connor","Leila ","","10/29/2016","Female","White","MGHSJVMT10",NA
20,"Dubois","Diego ","","11/13/2017","Male","White","0C18MEE5H2",NA
21,"Kim-Lee","Yuna ","","5/12/2016","Female","AIAN","FVKH6E1CWC",NA
22,"Hernandez","Aliyah ","","2/2/2017","Female","Black","XP5KISQLSA",1
23,"Chowdhury","Oliver ","","8/14/2016","Male","White","RB3SLU7MIP",1
24,"Cohen","Fatima ","","10/15/2018","Female","White","XU97KQHWD5",1
25,"Ortiz","Leo ","Tarik","5/5/2019","Male","NHOPI","O5OXJS0FQJ",NA
27,"Iwamoto","Omar ","Khalid","9/14/2017","Male","White","39O1Y8N1TQ",NA
28,"Davis","Sorry","Lucia","3/3/2018","Female","","UL8V1Y5BGG",1
