"ID","ID_source","GivenName","MiddleName","FamilyName","Sex","DOB","Race"
4,"2018AB29797","HIRO ","NIKITA","CHAN","M","2018-07-17","NHOPI"
8,"2019AB15569","JOON ","LEILA","SMITH","M","2019-07-22","Black"
9,"2019AB07650","KATARINA ","WOLFGANG","GONZÁLEZ","F","2019-11-09","Asian"
15,"2016AB37928","NADIA ","RAVI","LEE","F","2016-04-16","NHOPI"
16,"2020AB39613","EMRE ","AMALIA","JOHNSON","M","2020-04-04","Black"
22,"2017AB88375","ALIYAH ","ALINA","HERNANDEZ","F","2017-02-02","Black"
23,"2016AB84200","OLIVER ","RAFAEL","CHOWDHURY","M","2016-08-14","White"
24,"2018AB49922","FATIMA ","TALA","COHEN","F","2018-10-15","White"
28,"2018AB20978","SARI ","LUCIA","DAVIS","F","2018-03-03","Black"
34,"2020AB73125","AMAL ","NIAMH","GARCÍA-RODRÍGUEZ","F","2020-08-23","White"
35,"2017AB26969","ISAAC ","ARSENIY","ALI-JONES","M","2017-04-18","White"
36,"2016AB66469","YARA ","ADITI","AHMED","F","2016-10-23","Black"
37,"2018AB72438","JIN ","FINN","RUIZ","M","2018-09-05","Black"
47,"2019AB02969","JUN ","MARITZA","CHANG-LIU","M","2019-06-25","White"
48,"2017AB96393","CAMILA ","NIKOLAI","LEE-KIM","F","2017-03-19","White"
50,"2016AB81790","NAIMA ","HASSAN","SATO","F","2016-12-31","Asian"
52,"2020AB85602","KAYA ","SARI","ORTIZ-SANTOS","F","2020-07-10","White"
54,"2016AB14956","ANTON ","LUIZ","GARCÍA-SÁNCHEZ","M","2016-10-17","NHOPI"
55,"2019AB89313","HANA ","KAROLINA","ALI-MALIK","F","2019-06-12","AIAN"
64,"2019AB25763","OMAR ","ANDRZEJ","NAKAMURA-YAMAMOTO","M","2019-05-13","White"
68,"2018AB12788","AALIYAH ","MARISOL","KIM-CHOI","F","2018-04-28","White"
70,"2016AB37134","ANISA ","EMIR","SMITH-JOHNSON","F","2016-12-03","White"
71,"2020AB47267","KAI ","SOLVEIG","WONG-LIU","M","2020-07-28","AIAN"
72,"2017AB43877","JASMINE ","GISELLE","TORRES-RODRIGUEZ","F","2017-10-27","Black"
80,"2020AB34483","SELENA ","KIANA","CHANG-CHEN","F","2020-01-19","Asian"
81,"2019AB96911","YUSUF ","RASMUS","LEE-PARK","M","2019-08-26","White"
84,"2020AB01846","LILA ","FATOUMATA","ORTIZ-RODRÍGUEZ","F","2020-04-14","White"
87,"2018AB14069","LILA ","INESSA","HERNANDEZ-GONZALEZ","F","2018-01-15","White"
88,"2019AB94275","YUSUF ","RADU","SATO-NAKAMURA","M","2019-11-18","AIAN"
92,"2019AB10405","AKIO ","LYSANDRA","GARCÍA-FERNÁNDEZ","M","2019-10-04","Black"
93,"2019AB95766","EMILIA ","ADÁN","ALI-SIDDIQUI","F","2019-12-07","NHOPI"
109,"2018AB67991","QUINN","ANNABELLE","RAMIREZ","F","2018-01-23","Asian"
113,"2020AB03791","AUBREY","SOPHIA","JENKINS","F","2020-10-05","White"
119,"2016AB32278","SAGE","ISABELLA","WHITE","F","2016-05-07","White"
122,"2018AB87778","DREW","SAMUEL","ALLEN","M","2018-11-21","Black"
129,"2020AB79139","BAILEY","DANIEL","GREEN","F","2020-11-14","Black"
131,"2017AB49463","MORGAN","NICHOLAS","LEE","F","2017-09-05","White"
133,"2020AB91271","AVERY","RYAN","HALL","F","2020-01-07","White"
134,"2016AB41433","COREY","JOSHUA","HERNANDEZ","M","2016-06-09","White"
141,"2016AB37591","PEYTON","IVY","ORTIZ","F","2016-03-08","White"
146,"2019AB60630","RYLAN","GABRIEL","COOK","M","2019-06-21","White"
148,"2018AB00542","DREW","ZACHARY","RICHARDSON","M","2018-12-28","White"
150,"2020AB65468","LOGAN","ANTHONY","DAVIS-SCOTT","M","2020-11-20","Asian"
155,"2016AB09718","KELSEY","ELIZABETH","WATSON","F","2016-10-12","AIAN"
156,"2019AB44595","SPENCER","OWEN","MORRIS","M","2019-04-25","NHOPI"
164,"2018AB22774","HAYDEN","CHRISTOPHER","RAMIREZ-RODRIGUEZ","M","2018-03-11","White"
165,"2020AB16786","DAKOTA","MAYA","HERNANDEZ-CRUZ","F","2020-12-23","White"
166,"2018AB54109","TYLER","AARON","FLORES-RIVERA","M","2018-08-04","White"
167,"2017AB84457","JAMIE","GABRIELLE","SCOTT-HARRIS","F","2017-02-06","NHOPI"
174,"2018AB37376","CASEY","ETHAN","RIVERA","M","2018-11-08","White"
194,"2016AB95149","MORGAN","JACK","BAILEY-MARTIN","M","2016-02-13","AIAN"
198,"2019AB81212","FINLEY","JULIAN","HAYES-JOHNSON","M","2019-06-11","Black"
199,"2020AB04979","LOGAN","ELLIE","COOPER-THOMAS","F","2020-04-12","White"
203,"2018AB90986","KAIMANA","PULE","SIONE","M","2018-12-02","NHOPI"
204,"2019AB22256","ANAHERA","PAUATAHANUI","MOKONUIARANGI","F","2019-11-08","NHOPI"
207,"2020AB88486","TUAKANA","TOA","PATEA","M","2020-06-25","NHOPI"
209,"2018AB32289","TAUFA","ANE","FALETOI","M","2018-07-23","NHOPI"
210,"2017AB58137","MELE","KULA","TAVITA","F","2017-05-31","NHOPI"
212,"2017AB00609","SINA","ORAMA","TEURA","F","2017-11-30","NHOPI"
213,"2018AB19767","VAI","FALE","HINE","M","2018-01-22","NHOPI"
215,"2017AB26069","IAKOPO","LUTU","TUALA","M","2017-08-03","NHOPI"
216,"2018AB01803","HINEMOA","ATARETA","TANE","F","2018-10-11","NHOPI"
217,"2019AB70081","NUKUALOFA","SIONE","FALEVAI","M","2019-06-04","NHOPI"
222,"2016AB11948","AROHA","HIRIATA","POU","F","2016-05-06","NHOPI"
224,"2017AB68387","AFA","ANAPU","AMUIA","F","2017-12-05","NHOPI"
233,"2020AB87053","PASI","VAINETUTAI","KATOA","M","2020-11-21","NHOPI"
234,"2016AB48842","KAVA","TAULA","IAONE","F","2016-07-08","NHOPI"
237,"2018AB24488","MIKAELE","TAUFA","KAIPO","M","2018-06-20","NHOPI"
239,"2019AB18246","TOA","MALAKAI","ONAONA","M","2019-08-15","NHOPI"
245,"2017AB22742","PALEFAU","SOANE","OLA","M","2017-01-08","NHOPI"
246,"2020AB54478","FETU","LEILANI","TUITUPOU","F","2020-06-11","NHOPI"
247,"2018AB96398","SIOSIUA","TUPOU","LAUMANU","M","2018-10-29","NHOPI"
257,"2018AB44623","DESIREE","MONIQUE","DAVIS","F","2018-11-18","Black"
263,"2016AB35131","MONIQUE","DANIELLE","ADAMS","F","2016-06-07","Black"
264,"2017AB07657","TIA","RENEE","SCOTT","F","2017-03-17","Black"
268,"2017AB50128","CIARA","MARIE","RICHARDSON","F","2017-08-05","Black"
270,"2019AB95376","JAZMINE","MICHELLE","LEE","F","2019-11-12","Black"
274,"2019AB60789","COREY","JAMES","JACKSON","M","2019-06-20","Black"
277,"2018AB99325","ANDRE","LAMAR","LEWIS","M","2018-09-28","Black"
279,"2016AB74820","XAVIER","JAMAL","MITCHELL","M","2016-04-10","Black"
280,"2017AB64076","TERRENCE","MICHAEL","WILSON","M","2017-11-09","Black"
281,"2018AB18234","DEVIN","ISAIAH","HILL","M","2018-02-22","Black"
282,"2019AB06199","CLARENCE","JEROME","WRIGHT","M","2019-10-08","Black"
286,"2019AB05688","MARQUIS","ALEXANDER","ANDERSON","M","2019-12-14","Black"
288,"2017AB89736","CEDRIC","LAMAR","BAKER","M","2017-05-02","Black"
292,"2017AB01735","RASHAD","MALIK","DAVIS","M","2017-10-04","Black"
293,"2018AB05947","JAMAL","JEROME","PARRISH","M","2018-01-26","Black"
298,"2019AB60274","TERRANCE","ALEXANDER","JACKSON","M","2019-09-23","Black"
308,"2018AB68819","AMELIA","FAITH","ROBINSON","F","2018-11-14","Black"
315,"2018AB49840","EVELYN","FAITH","DAVIS","F","2018-03-03","NHOPI"
317,"2017AB48511","CHLOE","ISABELLA","LEE","F","2017-12-18","White"
322,"2017AB13167","ZOEY","ELIZABETH","KIM","F","2017-10-15","Black"
324,"2018AB52777","HARPER","MADISON","DAVIS","F","2018-05-02","White"
325,"2020AB72245","ARIANA","ELIZABETH","LEE","F","2020-11-26","NHOPI"
326,"2017AB21630","ADDISON","GRACE","ANDERSON","F","2017-09-03","Black"
331,"2018AB41226","CLAIRE","OLIVIA","ROBINSON","F","2018-04-04","White"
332,"2019AB05385","STELLA","MARIE","GARCIA","F","2019-10-08","AIAN"
333,"2017AB41306","AUTUMN","ELIZABETH","WILSON","F","2017-06-13","White"
334,"2020AB86604","PAISLEY","ROSE","LEE","F","2020-03-10","White"
336,"2018AB48302","EVERLY","SOPHIA","DAVIS","F","2018-11-18","Black"
339,"2020AB41203","JULIA","MARIE","ROBINSON","F","2020-05-24","White"
344,"2020AB43281","MADELYN","ELIZABETH","LEE","F","2020-11-10","AIAN"
347,"2017AB29902","HADLEY","ELIZABETH","WILSON","F","2017-10-10","White"
352,"2016AB29690","ARIANNA","MARIE","LEE","F","2016-11-30","White"
361,"2017AB87887","NAOMI","ELIZABETH","SMITH","F","2017-01-24","White"
363,"2020AB88514","PIPER","VICTORIA","DAVIS","F","2020-02-09","Asian"
366,"2017AB85906","HOPE","OLIVIA","ROBINSON","F","2017-09-01","White"
368,"2016AB07684","AVA","ROSE","LEE","F","2016-12-24","White"
369,"2019AB82627","CHARLOTTE","NICOLE","KIM","F","2019-08-04","White"
370,"2017AB58732","ISABELLA","MARIE","SINGH","F","2017-02-13","White"
373,"2017AB32492","AMELIA","CLAIRE","WILLIAMS","F","2017-06-16","White"
379,"2018AB16174","HARPER","JANE","GARCIA","F","2018-12-14","NHOPI"
387,"2018AB90428","ELEANOR","JOY","LEWIS","F","2018-06-28","White"
388,"2020AB47769","ZOEY","LOUISE","JACKSON","F","2020-01-03","AIAN"
390,"2017AB09997","SAMANTHA","FAITH","COLLINS","F","2017-05-08","White"
391,"2019AB53238","LILA","ANNE","KIM","F","2019-03-10","White"
394,"2019AB73524","AUDREY","FAITH","LEE","F","2019-02-23","AIAN"
396,"2017AB22593","BROOKLYN","JADE","RODRIGUEZ","F","2017-04-01","NHOPI"
397,"2019AB10746","AURORA","HOPE","WILLIAMS","F","2019-06-26","Black"
399,"2016AB77525","SAVANNAH","GRACE","PATEL","F","2016-11-02","White"
412,"2018AB45442","ALAINA","ROSE","WRIGHT","F","2018-11-29","White"
413,"2019AB35466","HADLEY","LYNN","HERNANDEZ","F","2019-02-08","White"
414,"2020AB37234","REESE","HOPE","TAYLOR","F","2020-10-13","White"
415,"2017AB10266","CALLIE","MARIE","SMITH","F","2017-03-09","NHOPI"
416,"2018AB96488","ARABELLA","GRACE","COOPER","F","2018-07-23","Black"
417,"2016AB31481","PAISLEY","JANE","LEWIS","F","2016-12-16","White"
420,"2017AB61987","MOLLY","FAITH","COLLINS","F","2017-01-12","White"
423,"2018AB29766","ISABELLE","NICOLE","JOHNSON","F","2018-04-10","White"
425,"2017AB09338","ELSIE","MAE","SINGH","F","2017-05-24","NHOPI"
427,"2017AB21499","POPPY","ROSE","WILLIAMS","F","2017-08-14","White"
431,"2019AB63737","PHOEBE","MARIE","KIM","F","2019-07-05","White"
434,"2017AB71353","ALEXA","MARIE","JOHNSON","F","2017-04-21","White"
438,"2016AB05587","AUTUMN","MARIE","MILLER","F","2016-12-22","White"
439,"2018AB08362","BROOKLYN","JANE","GARCIA","F","2018-05-30","White"
440,"2017AB20811","CLAIRE","ELIZABETH","BROWN","F","2017-03-01","Black"
442,"2018AB19563","PIPER","LYNN","WRIGHT","F","2018-11-18","White"
445,"2020AB51355","LILY","MARIE","SMITH","F","2020-01-06","Asian"
446,"2016AB34740","HARPER","JEAN","COOPER","F","2016-09-11","White"
451,"2019AB55250","SOPHIA","HOPE","KIM","F","2019-08-03","Asian"
454,"2018AB24520","LILY","FAITH","LEE","F","2018-09-08","NHOPI"
458,"2018AB35181","ZOEY","MARIE","DAVIS","F","2018-12-27","White"
460,"2019AB21790","SAMANTHA","RAE","LEE","F","2019-02-24","Black"
466,"2018AB86461","BROOKLYN","MARIE","RODRIGUEZ","F","2018-09-27","White"
471,"2016AB93852","WILLIAM","MATTHEW","CAMPBELL","M","2016-02-19","AIAN"
479,"2019AB56144","RYAN","CHRISTOPHER","TAYLOR","M","2019-11-03","NHOPI"
480,"2016AB89072","ANDREW","JOSHUA","COLLINS","M","2016-09-16","Asian"
482,"2016AB42434","JOSEPH","BRANDON","LEE","M","2016-07-22","White"
484,"2020AB59638","JASON","AARON","ADAMS","M","2020-12-18","White"
485,"2018AB20821","BRANDON","ALEXANDER","TORRES","M","2018-10-30","Asian"
488,"2016AB94910","KEVIN","ALEXANDER","PEREZ","M","2016-08-05","AIAN"
492,"2019AB21893","JUSTIN","MICHAEL","FOSTER","M","2019-09-10","Black"
494,"2016AB68299","TIMOTHY","STEVEN","RODRIGUEZ","M","2016-11-06","AIAN"
496,"2019AB77245","SAMUEL","JOSEPH","CARTER","M","2019-01-09","NHOPI"
499,"2017AB32841","ALEXANDER","NICHOLAS","YOUNG","M","2017-03-19","White"
500,"2016AB93445","DYLAN","BENJAMIN","HALL","M","2016-10-19","White"
503,"2020AB54874","MASON","JOSEPH","LEWIS","M","2020-12-08","Black"
504,"2016AB02286","BLAKE","CHRISTOPHER","ANDERSON","M","2016-09-22","NHOPI"
509,"2017AB67351","CODY","RICHARD","CLARK","M","2017-08-30","Asian"
511,"2019AB84628","SEAN","MICHAEL","SCOTT","M","2019-03-31","NHOPI"
516,"2016AB43941","TYLER","JAMES","PEREZ","M","2016-02-23","Black"
520,"2020AB92214","NICHOLAS","JOSEPH","ROBERTS","M","2020-01-01","White"
526,"2020AB97587","DANIEL","MATTHEW","RAMIREZ","M","2020-04-22","Black"
530,"2017AB95998","NICHOLAS","CHRISTOPHER","TAYLOR","M","2017-03-24","White"
531,"2016AB36892","ETHAN","JOSEPH","HERNANDEZ","M","2016-10-24","White"
534,"2017AB80733","NATHAN","MATTHEW","ROBINSON","M","2017-12-05","White"
537,"2017AB75566","JASON","MICHAEL","LEWIS","M","2017-07-04","Black"
540,"2016AB96586","TYLER","ANTHONY","HALL","M","2016-09-02","Black"
543,"2019AB29945","CALEB","MICHAEL","COOPER","M","2019-02-18","White"
